Date,Location,Name,Team,Time,Place
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Yellets, Jonathan",Haverford,53.24,1
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Gabriel, Dorvil",Haverford,53.82,2
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Boham, Denzell",Widener,54.51,3
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Frost, Alex",Haverford,54.53,4
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Betts, Will",Widener,54.55,5
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Gadsden, Darryll",Shenandoah,55.80,6
12/14/13,"Haverford College-Alumni FH - Haverford, PA","Levy, Marcus",Haverford,56.07,7
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Embury, Wade",Ottawa GG's,51.56,1
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Viscardi, Daniel",St. Lawrence,54.07,2
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Gauthier, Nic",Ottawa GG's,54.13,3
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Sheriko, Matt",Ottawa GG's,54.82,4
12/14/13,"St. Lawrence-Newell FH - Canton, NY","MacDonald, Nick",Carleton Ravens,55.37,5
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Scardera, Albert",St. Lawrence,55.37,6
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Concannon, Michael",St. Lawrence,55.98,7
12/14/13,"St. Lawrence-Newell FH - Canton, NY","Gustafson, Sven",St. Lawrence,57.07,8
12/14/13,"Reggie Lewis Center - Roxbury, MA","Stephenson, Dennis ",American Int'l,49.88,1
12/14/13,"Reggie Lewis Center - Roxbury, MA","Coley, Javante",Cobleskill,50.13,2
12/14/13,"Reggie Lewis Center - Roxbury, MA","Norris, Josh",Northeastern,50.44,3
12/14/13,"Reggie Lewis Center - Roxbury, MA","Wagner, Edward",Dartmouth,50.56,4
12/14/13,"Reggie Lewis Center - Roxbury, MA","Johnston, David ",Northeastern,50.63,5
12/14/13,"Reggie Lewis Center - Roxbury, MA","Shapiro, Alex",Northeastern,50.68,6
12/14/13,"Reggie Lewis Center - Roxbury, MA","McFarland, Andrew",New Hampshire,51.08,7
12/14/13,"Reggie Lewis Center - Roxbury, MA","Mills , Robert",UMass Lowell,51.11,8
12/14/13,"Reggie Lewis Center - Roxbury, MA","Forbes, Jarell",RIC,51.36,9
12/14/13,"Reggie Lewis Center - Roxbury, MA","Robinson, Nico",Dartmouth,52.17,10
12/14/13,"Reggie Lewis Center - Roxbury, MA","PANTHER, ANDREW",Lasell,52.18,11
12/14/13,"Reggie Lewis Center - Roxbury, MA","Amado, Craig",RIC,52.40,12
12/14/13,"Reggie Lewis Center - Roxbury, MA","Cooley, Warner",Sacred Heart,52.57,13
12/14/13,"Reggie Lewis Center - Roxbury, MA","Israel, Jeremy",Regis (Mass.),52.70,14
12/14/13,"Reggie Lewis Center - Roxbury, MA","Grasso, Ray",Regis (Mass.),53.88,15
12/14/13,"Reggie Lewis Center - Roxbury, MA","Norton, Matt",Regis (Mass.),54.27,16
12/14/13,"Reggie Lewis Center - Roxbury, MA","Levenson, Nicholas ",Fitchburg St.,54.30,17
12/14/13,"Reggie Lewis Center - Roxbury, MA","Garland, Lavaughn",Cobleskill,54.34,18
12/14/13,"Reggie Lewis Center - Roxbury, MA","Brideau, Brandon",Fitchburg St.,55.11,19
12/14/13,"Reggie Lewis Center - Roxbury, MA","Pullerits, Chris",Dartmouth,55.37,20
12/14/13,"Reggie Lewis Center - Roxbury, MA","Sheehan, Edwin",Lasell,56.69,21
12/14/13,"Reggie Lewis Center - Roxbury, MA","Romer, Carlos",Regis (Mass.),58.68,22
12/14/13,"Reggie Lewis Center - Roxbury, MA","LaPrise, Sean",Regis (Mass.),1:01.90,23
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","Boyd, Ben",Monmouth,49.38,1
12/13 - 12/15/13,"Manhattan College-Draddy Gymnasium - Riverdale, NY","PHILLIP, ISAIAH",Zenith Velocity AC,50.11,2
