SLU Score,Opponent Score,Set,Opponent,Year
0,1,1,Vassar,2014
1,1,1,Vassar,2014
2,1,1,Vassar,2014
2,2,1,Vassar,2014
2,3,1,Vassar,2014
3,3,1,Vassar,2014
3,4,1,Vassar,2014
4,4,1,Vassar,2014
4,5,1,Vassar,2014
4,6,1,Vassar,2014
5,6,1,Vassar,2014
5,7,1,Vassar,2014
6,7,1,Vassar,2014
6,8,1,Vassar,2014
7,8,1,Vassar,2014
8,8,1,Vassar,2014
8,9,1,Vassar,2014
8,10,1,Vassar,2014
9,10,1,Vassar,2014
10,10,1,Vassar,2014
11,10,1,Vassar,2014
12,10,1,Vassar,2014
12,11,1,Vassar,2014
13,11,1,Vassar,2014
13,12,1,Vassar,2014
13,13,1,Vassar,2014
13,14,1,Vassar,2014
13,15,1,Vassar,2014
14,15,1,Vassar,2014
15,15,1,Vassar,2014
16,15,1,Vassar,2014
16,16,1,Vassar,2014
16,17,1,Vassar,2014
16,18,1,Vassar,2014
17,18,1,Vassar,2014
18,18,1,Vassar,2014
18,19,1,Vassar,2014
19,19,1,Vassar,2014
20,19,1,Vassar,2014
20,20,1,Vassar,2014
21,20,1,Vassar,2014
21,21,1,Vassar,2014
22,21,1,Vassar,2014
22,22,1,Vassar,2014
23,22,1,Vassar,2014
24,22,1,Vassar,2014
24,23,1,Vassar,2014
24,24,1,Vassar,2014
24,25,1,Vassar,2014
24,26,1,Vassar,2014
0,1,2,Vassar,2014
0,2,2,Vassar,2014
1,2,2,Vassar,2014
2,2,2,Vassar,2014
2,3,2,Vassar,2014
3,3,2,Vassar,2014
4,3,2,Vassar,2014
5,3,2,Vassar,2014
5,4,2,Vassar,2014
6,4,2,Vassar,2014
6,5,2,Vassar,2014
6,6,2,Vassar,2014
6,7,2,Vassar,2014
7,7,2,Vassar,2014
7,8,2,Vassar,2014
8,8,2,Vassar,2014
9,8,2,Vassar,2014
9,9,2,Vassar,2014
9,10,2,Vassar,2014
10,10,2,Vassar,2014
10,11,2,Vassar,2014
10,12,2,Vassar,2014
10,13,2,Vassar,2014
10,14,2,Vassar,2014
11,14,2,Vassar,2014
11,15,2,Vassar,2014
12,15,2,Vassar,2014
12,16,2,Vassar,2014
12,17,2,Vassar,2014
13,17,2,Vassar,2014
13,18,2,Vassar,2014
14,18,2,Vassar,2014
14,19,2,Vassar,2014
14,20,2,Vassar,2014
15,20,2,Vassar,2014
15,21,2,Vassar,2014
16,21,2,Vassar,2014
17,21,2,Vassar,2014
17,22,2,Vassar,2014
17,23,2,Vassar,2014
18,23,2,Vassar,2014
19,23,2,Vassar,2014
19,24,2,Vassar,2014
20,24,2,Vassar,2014
20,25,2,Vassar,2014
0,1,3,Vassar,2014
0,2,3,Vassar,2014
1,2,3,Vassar,2014
2,2,3,Vassar,2014
3,2,3,Vassar,2014
3,3,3,Vassar,2014
4,3,3,Vassar,2014
4,4,3,Vassar,2014
5,4,3,Vassar,2014
5,5,3,Vassar,2014
5,6,3,Vassar,2014
6,6,3,Vassar,2014
6,7,3,Vassar,2014
6,8,3,Vassar,2014
6,9,3,Vassar,2014
6,10,3,Vassar,2014
7,10,3,Vassar,2014
7,11,3,Vassar,2014
8,11,3,Vassar,2014
9,11,3,Vassar,2014
9,12,3,Vassar,2014
10,12,3,Vassar,2014
11,12,3,Vassar,2014
12,12,3,Vassar,2014
12,13,3,Vassar,2014
12,14,3,Vassar,2014
13,14,3,Vassar,2014
14,14,3,Vassar,2014
15,14,3,Vassar,2014
15,15,3,Vassar,2014
16,15,3,Vassar,2014
17,15,3,Vassar,2014
17,16,3,Vassar,2014
18,16,3,Vassar,2014
18,17,3,Vassar,2014
19,17,3,Vassar,2014
19,18,3,Vassar,2014
19,19,3,Vassar,2014
19,20,3,Vassar,2014
19,21,3,Vassar,2014
20,21,3,Vassar,2014
20,22,3,Vassar,2014
20,23,3,Vassar,2014
21,23,3,Vassar,2014
21,24,3,Vassar,2014
22,24,3,Vassar,2014
23,24,3,Vassar,2014
23,25,3,Vassar,2014
0,1,1,RIT,2014
1,1,1,RIT,2014
2,1,1,RIT,2014
2,2,1,RIT,2014
3,2,1,RIT,2014
3,3,1,RIT,2014
3,4,1,RIT,2014
3,5,1,RIT,2014
4,5,1,RIT,2014
4,6,1,RIT,2014
5,6,1,RIT,2014
5,7,1,RIT,2014
6,7,1,RIT,2014
6,8,1,RIT,2014
7,8,1,RIT,2014
7,9,1,RIT,2014
7,10,1,RIT,2014
8,10,1,RIT,2014
8,11,1,RIT,2014
8,12,1,RIT,2014
8,13,1,RIT,2014
9,13,1,RIT,2014
9,14,1,RIT,2014
10,14,1,RIT,2014
10,15,1,RIT,2014
11,15,1,RIT,2014
12,15,1,RIT,2014
12,16,1,RIT,2014
13,16,1,RIT,2014
13,17,1,RIT,2014
14,17,1,RIT,2014
15,17,1,RIT,2014
16,17,1,RIT,2014
17,17,1,RIT,2014
18,17,1,RIT,2014
19,17,1,RIT,2014
20,17,1,RIT,2014
21,17,1,RIT,2014
22,17,1,RIT,2014
22,18,1,RIT,2014
22,19,1,RIT,2014
22,20,1,RIT,2014
23,20,1,RIT,2014
23,21,1,RIT,2014
24,21,1,RIT,2014
25,21,1,RIT,2014
0,1,2,RIT,2014
0,2,2,RIT,2014
1,2,2,RIT,2014
2,2,2,RIT,2014
2,3,2,RIT,2014
2,4,2,RIT,2014
2,5,2,RIT,2014
3,5,2,RIT,2014
4,5,2,RIT,2014
5,5,2,RIT,2014
5,6,2,RIT,2014
5,7,2,RIT,2014
6,7,2,RIT,2014
7,7,2,RIT,2014
8,7,2,RIT,2014
8,8,2,RIT,2014
9,8,2,RIT,2014
10,8,2,RIT,2014
10,9,2,RIT,2014
11,9,2,RIT,2014
11,10,2,RIT,2014
11,11,2,RIT,2014
12,11,2,RIT,2014
13,11,2,RIT,2014
14,11,2,RIT,2014
14,12,2,RIT,2014
15,12,2,RIT,2014
16,12,2,RIT,2014
17,12,2,RIT,2014
18,12,2,RIT,2014
19,12,2,RIT,2014
20,12,2,RIT,2014
20,13,2,RIT,2014
21,13,2,RIT,2014
22,13,2,RIT,2014
