SLU Score,Opponent Score,Set,Opponent,Year,Server,Play Comment,,
0,1,1,Vassar,2014,SLU,[Marisa Turner] Service error.,Hello,[Marisa Turner] Service error.
1,1,1,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Becky Briggs (from Katie Kull).,Yo,
2,1,1,Vassar,2014,SLU,"[Masha Kolesnikova] Kill by Lexi Brown (from Katie Kull), block error by Alex Sams.",,
2,2,1,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Gabby Miller.,,
2,3,1,Vassar,2014,VASSAR,[Gabby Miller] Service ace (Marisa Turner).,,
3,3,1,Vassar,2014,VASSAR,[Gabby Miller] Kill by Cristina Deschaine (from Katie Kull).,,
3,4,1,Vassar,2014,SLU,[Katarina Marczeski] Service error.,,
4,4,1,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Lexi Brown.,,
4,5,1,Vassar,2014,SLU,[Katie Rowell] Kill by Clara Cardillo (from Sophia Tiajoloff).,,
4,6,1,Vassar,2014,VASSAR,[Marie Pitre] Attack error by Mariah Dignan.,,
5,6,1,Vassar,2014,VASSAR,[Marie Pitre] Kill by Cristina Deschaine (from Katarina Marczeski).,,
5,7,1,Vassar,2014,SLU,[Mariah Dignan] Kill by Taylor Mosley (from Sophia Tiajoloff).,,
6,7,1,Vassar,2014,VASSAR,[Taylor Mosley] Kill by Maddy Ruehl (from Katarina Marczeski).,,
6,8,1,Vassar,2014,SLU,[Maddy Ruehl] Service error.,,
7,8,1,Vassar,2014,VASSAR,[Clara Cardillo] Service error.,,
8,8,1,Vassar,2014,SLU,"[Rebecca Doser] Kill by Lexi Brown (from Masha Kolesnikova), block error by Alex Sams.",,
8,9,1,Vassar,2014,SLU,[Rebecca Doser] Service error.,,
8,10,1,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Gabby Miller (from Sophia Tiajoloff).,,
9,10,1,Vassar,2014,VASSAR,[Sophia Tiajoloff] Kill by Lexi Brown (from Katie Kull).,,
10,10,1,Vassar,2014,SLU,[Masha Kolesnikova] Service ace (Gabby Miller).,,
11,10,1,Vassar,2014,SLU,[Masha Kolesnikova] Attack error by Marie Pitre.,,
12,10,1,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Becky Briggs.,,
12,11,1,Vassar,2014,SLU,[Masha Kolesnikova] Kill by Gabby Miller (from Sophia Tiajoloff).,,
13,11,1,Vassar,2014,VASSAR,[Gabby Miller] Service error.,,
13,12,1,Vassar,2014,SLU,[Katarina Marczeski] Service error.,,
13,13,1,Vassar,2014,VASSAR,[Chloe Hallum] Attack error by Cristina Deschaine (block by Marie Pitre; Clara Cardillo).,,
13,14,1,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Sophia Tiajoloff.,,
13,15,1,Vassar,2014,VASSAR,[Chloe Hallum] Ball handling error by Katarina Marczeski.,,
14,15,1,Vassar,2014,VASSAR,[Chloe Hallum] Kill by Maddy Ruehl (from Katarina Marczeski).,,
15,15,1,Vassar,2014,SLU,[Katie Rowell] Ball handling error by Sophia Tiajoloff.,,
16,15,1,Vassar,2014,SLU,[Katie Rowell] Kill by Cristina Deschaine (from Katarina Marczeski).,,
16,16,1,Vassar,2014,SLU,[Katie Rowell] Attack error by Rebecca Doser (block by Clara Cardillo; Marie Pitre).,,
